cluster,raised,goal,donors,length,shares
3,5147,28000,47,5,352
7,6930,25000,52,4,455
12,5120,75000,63,19,672
7,5120,50000,56,1,304
8,5118,8000,53,4,596
11,5115,5000,50,2,217
1,5098,18000,48,4,325
12,5065,10000,80,2,1.2k
12,5046,8500,75,1,265
6,4995,10000,47,5,404
7,4985,3000,87,11,301
4,4925,10000,54,3,359
5,4925,20000,37,5,157
2,5205,5000,71,2,193
1,4905,4600,29,2,110
5,4903,10000,74,4,130
12,4900,5000,56,1,340
17,4867,3250,92,6,533
17,5000,15000,17,5,181
2,5000,10000,20,5,11
6,4995,10000,47,5,404
7,4985,3000,87,11,301
13,4960,30000,29,7,155
4,4925,10000,54,3,359
5,4925,20000,37,5,157
2,5205,5000,71,2,193
1,4905,4600,29,2,110
5,4903,10000,74,4,130
4,4840,5000,99,1,338
4,4830,10000,81,5,48
15,4825,10000,83,1,356
15,4825,100000,57,3,264
4,4804,8550,78,15,174
2,4785,23000,69,5,466
2,4775,10000,44,5,53
3,4760,50000,36,2,57
18,4738,50000,59,5,226
1,4730,3500,66,1,371
8,4700,5000,42,21,121
12,4686,21000,61,4,193
16,4685,5000,57,1,557
15,4678,10000,41,5,162
9,4675,100,55,15,184
11,4674,7000,86,2,1.5k
4,4662,30000,52,5,201
12,4680,60000,93,28,586
14,4660,12000,67,1,285
12,4686,21000,61,4,193
16,4685,5000,57,1,557
15,4678,10000,41,5,162
9,4675,100,55,15,184
11,4674,7000,86,2,1.5k
4,4662,30000,52,5,201
12,4680,60000,93,28,586
14,4660,12000,67,1,285
1,4660,10000,65,3,219
9,4660,20000,38,4,484
4,4660,20000,33,4,49
9,4645,17000,53,2,203
13,4642,6000,86,3,457
4,4640,10000,30,2,158
1,4655,15000,71,2,491
1,4630,5000,46,5,560
5,4610,12000,58,3,180
15,4610,10000,42,3,154
17,4605,10000,52,5,178
1,4602,5000,48,5,160
9,4600,7500,33,3,162
8,4570,86000,50,2,115
11,4565,5000,26,3,45
9,4555,40000,53,5,505
14,4555,5000,37,3,3
18,4554,50000,52,4,843
7,4550,6000,62,2,208
9,4546,35000,9,26,17
5,4525,25000,28,2,309
7,4550,6000,62,2,208
9,4546,35000,9,26,17
16,4515,10000,53,2,168
