CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Overall Collection,Archery Equipment-Bows,,Italian or Indo-Persian,Bow,13.146
Mid-Point,Shafted Weapons,,Italian,Runka,14.25.123
Mid-Point,Shafted Weapons,,probably German,Halberd,14.25.196
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),46.122.90
Mid-Point,Firearms,,Tibetan,Musket barrel,2001.62
Overall Collection,Banners,,French,Banner with shaft,"14.25.1815a, b"
Overall Collection,Banners,,Korean,Banner,18.20.2
Overall Collection,Banners,,Spanish,Banner,21.3
Mid-Point,Shafted Weapons,,Spanish,Lance point,14.25.485
Overall Collection,Helmets,,Italian,Sallet,14.25.573
Overall Collection,Shields,,Italian,Shield,14.25.759
Mid-Point,Daggers,,"West African, possibly Fulani",Dagger with sheath,"1977.251.7a, b"
Overall Collection,Miscellaneous,,Japanese,Field ensign (<i>Sashimono</i>),"2018.833.29a, b"
Overall Collection,Armor Parts,,Sudanese,Cuirass,"36.25.467a, b"
Overall Collection,Firearms Accessories,,Tibetan,Powder charger case,36.25.2478
Overall Collection,Archery Equipment-Arrows & Quivers,,Tibetan or Chinese,Bow case and quiver,"36.25.2557a, b"
Overall Collection,Equestrian Equipment-Bits,,"French, Limoges",Bit boss,20.151.10
Overall Collection,Krisses,,"Philippine, Mindanao",Kris,36.25.1251
Overall Collection,Firearms Parts,,Italian,Miquelet lock,45.160.4
Overall Collection,Sword Furniture-Kozuka,,Japanese,Knife handle (Kozuka),43.120.513
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),43.120.753
Overall Collection,Sword Furniture-Fuchi-Kashira,,Japanese,Sword-hilt collar and pommel (Fuchigashira),"43.120.1124a, b"
Overall Collection,Sword Furniture-Fuchi-Kashira,,Japanese,Sword-hilt collar and pommel (Fuchigashira),"43.120.1183a, b"
Overall Collection,Swords-Accessories,,Italian,Grip and pommel of sword,42.50.147
Mid-Point,Sword Furniture-Menuki,,Japanese,Pair of sword-grip ornaments (Menuki),"38.55.23a, b"
Mid-Point,Sword Furniture-Menuki,,Japanese,Pair of sword-grip ornaments (Menuki),"38.55.25a, b"
Mid-Point,Sword Furniture-Menuki,,Japanese,Pair of sword-grip ornaments (Menuki),"38.55.53a, b"
Overall Collection,Firearms-Pistols-Flintlock,,"German, WolfenbŸttel",Flintlock gun,37.154.4
Overall Collection,Equestrian Equipment-Spurs,,German,Spur,36.149.10
Overall Collection,Sword Furniture-Fuchi-Kashira,,Japanese,Sword-hilt collar and pommel (Fuchigashira),"36.120.440a, b"
Overall Collection,Sword Furniture-Fuchi-Kashira,,Japanese,Sword-hilt collar and pommel (Fuchigashira),"36.120.459a, b"
Overall Collection,Sword Furniture-Kozuka,,Japanese,Knife handle (Kozuka),36.120.338
Overall Collection,Sword Furniture-Kozuka,,Japanese,Knife handle (Kozuka),36.120.271
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),36.120.142
Mid-Point,Sword Furniture-Tsuba,,Japanese,Sword guard (Tsuba),36.120.71
Overall Collection,Archery Equipment-Archer's Ring,,Indian,Archer's ring,36.25.2789
Overall Collection,Firearms Accessories,,"Sumatran, Batak","Pouch, primer, and flask",36.25.2452
